"","Year","Month","PF","PV","cases","Population","prcp","tmean","tmin","tmax","source"
"56",1989,8,NA,NA,NA,NA,0.109677422431207,24.079999923706,20.9799995422363,27.1800003051758,"terraclimate"
"57",1989,8,NA,NA,NA,NA,0.120529851605815,24.0649852752685,19.200984954834,28.9289855957031,"worldclim"
"58",1989,8,NA,NA,NA,NA,0.13225806143976,21.2000007629395,NA,NA,"cru"
"59",1989,8,NA,NA,NA,NA,0.406451612903226,22.24435484,19.45,25.03870968,"station"
"60",1989,8,NA,NA,NA,NA,1.93290551720951,20.7969823819381,NA,NA,"era5"
"61",1989,9,NA,NA,NA,NA,0.0333333333333333,24.65,NA,NA,"chelsa"
"62",1989,9,NA,NA,NA,NA,0.113333333333333,22.853965515,20.17,25.53793103,"station"
"63",1989,9,NA,NA,NA,NA,0.541134770711263,24.0721340179444,18.9961338043213,29.1481342315674,"worldclim"
"64",1989,9,NA,NA,NA,NA,0.55,24.1099996566772,21.0499992370605,27.1700000762939,"terraclimate"
"65",1989,9,NA,NA,NA,NA,0.80333334604899,21.8000011444092,NA,NA,"cru"
"66",1989,9,NA,NA,NA,NA,1.73502457370713,21.1875116375946,NA,NA,"era5"
"67",1989,10,NA,NA,NA,NA,0.387096774193548,25.05,NA,NA,"chelsa"
"68",1989,10,NA,NA,NA,NA,0.390322580645161,23.496774195,20.81935484,26.17419355,"station"
"69",1989,10,NA,NA,NA,NA,0.636553241360571,24.4427309036255,19.4467296600342,29.4387321472168,"worldclim"
"70",1989,10,NA,NA,NA,NA,0.693548387096774,24.5200004577637,21.6900005340576,27.3500003814697,"terraclimate"
"71",1989,10,NA,NA,NA,NA,1.24193548387097,21.8000011444092,NA,NA,"cru"
"72",1989,10,NA,NA,NA,NA,3.32784402017082,21.7080473686981,NA,NA,"era5"
"73",1989,11,NA,NA,NA,NA,0.0666666666666667,25.35,NA,NA,"chelsa"
"74",1989,11,NA,NA,NA,NA,0.323333333333333,NA,21.40333333,NA,"station"
"75",1989,11,NA,NA,NA,NA,0.374572372436523,25.0106420516967,19.9246425628662,30.0966415405273,"worldclim"
"76",1989,11,NA,NA,NA,NA,0.41000000635783,25.079999923706,21.75,28.4099998474121,"terraclimate"
